Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SG/SF,Bradley Beal (36791092),Bradley Beal,36791092,SG/SF/F/G/UTIL,7600,LAL@PHX 11/26/2024 10:00PM ET,PHX,33.56
SF/PF,Lauri Markkanen (36791097),Lauri Markkanen,36791097,SF/PF/F/UTIL,7400,SAS@UTA 11/26/2024 09:00PM ET,UTA,33.86
PF/C,John Collins (36791101),John Collins,36791101,PF/C/F/UTIL,7300,SAS@UTA 11/26/2024 09:00PM ET,UTA,36.36
PG,Fred VanVleet (36791105),Fred VanVleet,36791105,PG/G/UTIL,7100,HOU@MIN 11/26/2024 08:00PM ET,HOU,34.07
PG/SG,Coby White (36791108),Coby White,36791108,PG/SG/G/UTIL,7000,CHI@WAS 11/26/2024 07:00PM ET,CHI,34.17
C,Rudy Gobert (36791120),Rudy Gobert,36791120,C/UTIL,6600,HOU@MIN 11/26/2024 08:00PM ET,MIN,31.23
PG/SG,Austin Reaves (36791116),Austin Reaves,36791116,PG/SG/G/UTIL,6600,LAL@PHX 11/26/2024 10:00PM ET,LAL,32.92
SG,Khris Middleton (36791122),Khris Middleton,36791122,SG/G/UTIL,6500,MIL@MIA 11/26/2024 07:30PM ET,MIL,0
C,Jeremy Sochan (36791125),Jeremy Sochan,36791125,C/UTIL,6500,SAS@UTA 11/26/2024 09:00PM ET,SAS,31.93
PG,Josh Giddey (36791127),Josh Giddey,36791127,PG/G/UTIL,6400,CHI@WAS 11/26/2024 07:00PM ET,CHI,31.5
SG,Jalen Green (36791130),Jalen Green,36791130,SG/G/UTIL,6400,HOU@MIN 11/26/2024 08:00PM ET,HOU,31.25
PF,Kyle Kuzma (36791136),Kyle Kuzma,36791136,PF/F/UTIL,6300,CHI@WAS 11/26/2024 07:00PM ET,WAS,27.45
PG,Chris Paul (36791133),Chris Paul,36791133,PG/G/UTIL,6300,SAS@UTA 11/26/2024 09:00PM ET,SAS,31.87
C,Jusuf Nurkic (36791139),Jusuf Nurkic,36791139,C/UTIL,6200,LAL@PHX 11/26/2024 10:00PM ET,PHX,26.25
PG,Terry Rozier (36791141),Terry Rozier,36791141,PG/G/UTIL,6100,MIL@MIA 11/26/2024 07:30PM ET,MIA,26.21
C,Brook Lopez (36791144),Brook Lopez,36791144,C/UTIL,6000,MIL@MIA 11/26/2024 07:30PM ET,MIL,29.44
